,word
0,call
1,get
2,day
3,free
4,know
5,got
6,come
7,like
8,time
9,good
10,text
11,love
12,want
13,send
14,need
15,one
16,today
17,txt
18,going
19,home
20,stop
21,lor
22,sorry
23,see
24,still
25,mobile
26,take
27,back
28,reply
29,think
30,tell
31,dont
32,week
33,phone
34,new
35,later
36,pls
37,please
38,msg
39,min
40,make
41,dear
42,night
43,message
44,say
45,well
46,thing
47,much
48,great
49,claim
50,hope
51,hey
52,url
53,number
54,wat
55,friend
56,happy
57,work
58,give
59,yes
60,way
61,let
62,prize
63,wan
64,right
65,tomorrow
66,already
67,tone
68,ask
69,said
70,cash
71,yeah
72,life
73,really
74,amp
75,meet
76,babe
77,find
78,morning
79,win
80,miss
81,year
82,last
83,service
84,thanks
85,would
86,co
87,lol
88,anything
89,also
90,nokia
91,feel
92,every
93,care
94,sure
95,pick
96,keep
97,sent
98,contact
99,urgent
100,something
101,buy
102,wait
103,cant
104,first
105,place
106,help
107,even
108,nice
109,next
110,someone
111,wish
112,went
113,guy
114,box
115,around
116,soon
117,tonight
118,word
119,show
120,could
121,money
122,customer
123,per
124,gon
125,late
126,chat
127,sleep
128,many
129,name
130,always
131,leave
132,dun
133,lot
134,gud
135,end
136,told
137,hello
138,waiting
139,fine
140,month
141,girl
142,sm
143,hour
144,people
145,haha
146,special
147,heart
148,coming
149,minute
150,getting
151,may
152,done
153,smile
154,yet
155,person
156,thk
157,guaranteed
158,try
159,thought
160,best
161,use
162,ppm
163,offer
164,god
165,talk
166,stuff
167,class
168,holiday
169,lunch
170,car
171,live
172,man
173,mean
174,cost
175,line
176,finish
177,job
178,draw
179,start
180,bit
181,problem
182,yup
183,trying
184,never
185,meeting
186,thats
187,better
188,house
189,plan
190,price
191,cool
192,long
193,account
194,ill
195,ready
196,rate
197,pobox
198,weekend
199,dat
200,chance
201,mind
202,game
203,world
204,half
205,enjoy
206,latest
207,room
208,check
209,guess
210,play
211,sir
212,lar
213,eat
214,look
215,nothing
216,boy
217,receive
218,pic
219,camera
220,voucher
221,awarded
222,sweet
223,real
224,another
225,liao
226,big
227,shit
228,dinner
229,birthday
230,landline
231,jus
232,luv
233,might
234,kiss
235,ever
236,quite
237,hr
238,video
239,watching
240,question
241,com
242,xxx
243,watch
244,land
245,point
246,early
247,speak
248,bed
249,aight
250,worry
251,called
252,thanx
253,baby
254,fun
255,probably
256,wont
257,remember
258,bus
259,maybe
260,part
261,network
262,forgot
263,nite
264,shall
265,two
266,sat
267,actually
268,den
269,bad
270,princess
271,hear
272,apply
273,orange
274,ringtone
275,pay
276,left
277,dream
278,easy
279,reach
280,shopping
281,dunno
282,office
283,code
284,hurt
285,little
286,evening
287,leh
288,face
289,didnt
290,dis
291,award
292,put
293,fuck
294,wife
295,dad
296,age
297,enough
298,thank
299,looking
300,afternoon
301,movie
302,anyway
303,school
304,mail
305,working
306,sound
307,selected
308,everything
309,true
310,made
311,gift
312,mate
313,without
314,missing
315,tmr
316,asked
317,detail
318,pound
319,town
320,collect
321,entry
322,wif
323,go
324,though
325,since
326,came
327,okay
328,must
329,xmas
330,join
331,sexy
332,valid
333,lesson
334,wanted
335,missed
336,run
337,pain
338,abt
339,answer
340,til
341,able
342,hav
343,important
344,wake
345,book
346,wot
347,bring
348,mob
349,collection
350,date
351,test
352,juz
353,stay
354,decimal
355,plz
356,change
357,charge
358,colour
359,away
360,plus
361,alright
362,till
363,saw
364,yesterday
365,double
366,hair
367,wen
368,havent
369,else
370,update
371,dude
372,attempt
373,weekly
374,making
375,food
376,haf
377,oso
378,trip
379,friendship
380,drink
381,credit
382,bored
383,online
384,music
385,top
386,goin
387,lei
388,optout
389,ard
390,driving
391,address
392,coz
393,feeling
394,either
395,sch
396,family
397,hot
398,player
399,tried
400,delivery
401,club
402,national
403,brother
404,mom
405,second
406,busy
407,believe
408,smoke
409,story
410,shop
411,wid
412,ring
413,full
414,calling
415,post
416,head
417,tot
418,beautiful
419,lose
420,together
421,order
422,sad
423,bonus
424,sae
425,set
426,close
427,smiling
428,old
429,leaving
430,sleeping
431,noe
432,happen
433,walk
434,chikku
435,huh
436,mum
437,eve
438,saying
439,drive
440,row
441,info
442,await
443,poly
444,aft
445,tomo
446,took
447,finished
448,started
449,cause
450,parent
451,hand
452,awesome
453,match
454,okie
455,news
456,thinking
457,simple
458,pub
459,email
460,rite
461,suite
462,drop
463,congrats
464,private
465,mths
466,available
467,caller
468,tho
469,forget
470,taking
471,everyone
472,break
473,company
474,wil
475,final
476,angry
477,sister
478,reason
479,card
480,mine
481,neva
482,valentine
483,content
484,statement
485,auction
486,unsubscribe
487,treat
488,lucky
489,ticket
490,search
491,type
492,open
493,whats
494,fancy
495,bank
496,carlos
497,worth
498,si
499,touch
500,found
501,whatever
502,choose
503,sun
504,knw
505,gal
506,anyone
507,loving
508,alone
509,expires
510,dating
511,opt
512,smth
513,saturday
514,decided
515,song
516,prob
517,gone
518,hit
519,happened
520,friday
521,uncle
522,hard
523,frnd
524,boytoy
525,college
526,exam
527,far
528,kind
529,fast
530,anytime
531,congratulation
532,party
533,visit
534,quiz
535,secret
536,welcome
537,winner
538,identifier
539,ltd
540,gbp
541,mobileupd
542,crazy
543,wonderful
544,used
545,wit
546,finally
547,darlin
548,goodmorning
549,oredi
550,tel
551,read
552,light
553,project
554,bout
555,fucking
556,nope
557,outside
558,fri
559,pretty
560,sea
561,drug
562,wonder
563,lovely
564,wrong
565,term
566,least
567,chennai
568,hows
569,camcorder
570,operator
571,sunday
572,hungry
573,seeing
574,telling
575,whole
576,frnds
577,hmm
578,log
579,course
580,mrng
581,case
582,meant
583,hold
584,blue
585,fone
586,jay
587,ten
588,cum
589,frm
590,listen
591,snow
592,earlier
593,support
594,sub
595,unlimited
596,wkly
597,freemsg
598,savamob
599,press
600,child
601,almost
602,move
603,cut
604,hee
605,download
606,computer
607,mah
608,felt
609,invited
610,tired
611,joy
612,hmmm
613,balance
614,march
615,side
616,dnt
617,stupid
618,die
619,bslvyl
620,lost
621,christmas
622,reading
623,ago
624,moment
625,talking
626,couple
627,rock
628,as
629,india
630,park
631,single
632,pas
633,yar
634,happiness
635,paper
636,mayb
637,within
638,understand
639,store
640,yr
641,film
642,john
643,area
644,luck
645,enter
646,currently
647,gas
648,father
649,valued
650,sex
651,etc
652,motorola
653,txts
654,promise
655,hospital
656,wow
657,load
658,shower
659,askd
660,sending
661,bill
662,semester
663,correct
664,laptop
665,swing
666,return
667,figure
668,ish
669,met
670,seen
671,via
672,supposed
673,confirm
674,lady
675,gym
676,kid
677,darren
678,an
679,sell
680,eye
681,picking
682,ugh
683,sort
684,knew
685,photo
686,heard
687,nyt
688,grin
689,extra
690,difficult
691,red
692,surprise
693,comp
694,direct
695,information
696,max
697,charged
698,complimentary
699,reveal
700,rental
701,ipod
702,redeemed
703,usf
704,request
705,comin
706,cheer
707,abiola
708,crave
709,joke
710,checking
711,rply
712,save
713,loan
714,page
715,entered
716,lovable
717,wine
718,safe
719,muz
720,bath
721,net
722,orchard
723,kate
724,study
725,bcoz
726,road
727,lover
728,wana
729,leaf
730,somebody
731,rest
732,small
733,slow
734,asking
735,link
736,remove
737,monday
738,rent
739,le
740,blood
741,clean
742,door
743,train
744,laugh
745,idea
746,whenever
747,truth
748,fact
749,loved
